wiek,centyl90,centyl95,centyl99
2,62,64,70
3,62,66,70
4,64,66,72
5,64,66,72
6,64,68,72
7,68,72,76
8,68,72,78
9,70,74,78
10,70,74,78
11,70,74,80
12,72,74,80
13,72,76,82
14,74,76,82
15,74,78,84
16,76,78,86
17,76,80,86
18,76,80,86
