wiek,centyl3,centyl10,centyl25,centyl50,centyl75,centyl90,centyl97
2,47,48,48.5,49.5,50,51,52
3,48,49,49.5,50.5,51,52,53
4,49,50,50.5,51.5,52,53,54
5,49.5,50,51,52,53,54,54.5
6,49.5,50.5,51.5,52.5,53.5,54,55
7,50,51,52,53,53.5,54.5,55.5
8,50.5,51.5,52,53,54,55,55.5
9,51,51.5,52.5,53.5,54.5,55,56
10,51,52,53,54,55,55.5,56.5
11,51.5,52.5,53,54.5,55,56,57
12,52,52.5,53.5,54.5,55.5,56.5,57.5
13,52,53,54,55,56,57,58
14,52.5,53.5,54.5,55.5,56.5,57.5,58.5
15,53,54,55,56,57,58,58.5
16,53.5,54.5,55.5,56.5,57.5,58.5,59
17,54.5,55,56,57,58,59,59.5
18,54.5,55.5,56,57,58,59,59.5
