wiek,centyl3,centyl10,centyl25,centyl50,centyl75,centyl90,centyl97
2,84,85,87,89,90,92,94
3,90,92,95,97,99,100,102
4,96,99,101,104,107,110,113
5,104,106,108,110,114,117,120
6,110,112,115,117,121,125,128
7,115,118,120,123,127,130,135
8,120,123,126,129,133,136,140
9,124,128,132,135,139,142,146
10,129,133,137,141,145,149,154
11,134,138,142,146,150,155,159
12,140,144,147,152,157,163,167
13,144,149,154,159,165,170,175
14,151,155,160,166,172,177,182
15,158,163,167,171,176,181,185
16,165,168,172,176,180,185,189
17,166,170,175,178,182,187,190
18,167,170,175,179,183,187,190
