wiek,centyl90,centyl95,centyl99
2,64,66,72,
3,64,66,72,
4,64,66,72
5,66,68,74
6,66,70,74
7,70,72,78
8,70,72,78
9,70,74,80
10,72,74,80
11,72,74,80
12,72,76,80
13,74,76,82
14,74,78,82
15,74,78,82
16,74,78,82
17,74,78,82
18,74,78,82
