wiek,centyl3,centyl10,centyl25,centyl50,centyl75,centyl90,centyl97
18,47,49,53,57,61,68,72
17,46.5,48.5,52,56.5,60.5,67.5,72
16,44.5,47,51,55.5,60,67,71.5
15,42,45,48.5,54,58.5,65,71
14,39,42,46,50.5,56,63,69
13,35,38,42,46.5,53,60,66
12,30.5,33,37,42,49,56,62
11,27,29,33,37.5,44,50,57
10,24.5,26,29,33,37.5,45,50
9,22,23.5,25.5,29,33.5,39,45
8,20,21.5,23,26,30,34,39
7,18,19.5,21,23.5,26.5,30,34
6,16,17.5,19,21,23,26,29
5,15,16,17,19,20,22,24
4,13,14,15,16.5,18,19,21
3,12,12.5,13,14.5,16,17,18
2,10,10.5,11,12,13,14,15.5
