wiek,centyl90,centyl95,centyl99
2,104,108,114
3,104,108,114
4,104,108,114
5,106,110,116
6,108,112,118
7,112,118,124
8,114,120,126
9,116,120,128
10,118,122,130
11,120,124,132
12,122,126,134
13,124,128,138
14,126,130,138
15,126,132,140
16,126,132,140
17,128,132,140
18,126,130,140
