wiek,centyl3,centyl10,centyl25,centyl50,centyl75,centyl90, centyl97
0,13,13.6,14,14.9,15.5,16,16.9
1,13,13.7,14.2,15,16,16.5,17.5
2,14,14.8,15.3,16.2,17.2,17.7,18.6
3,14.6,15.4,15.9,16.8,17.9,18.4,19.3
4,15,15.7,16.3,17.2,18.2,18.8,19.7
5,15.1,15.9,16.4,17.3,18.3,18.9,19.9
6,15.2,15.9,16.4,17.4,18.3,18.9,19.9
7,15.2,15.9,16.4,17.3,18.3,18.9,19.9
8,15.1,15.8,16.3,17.2,18.2,18.8,19.8
9,15.1,15.8,16.2,17.1,18.1,18.7,19.6
10,15,15.7,16.1,17,18,18.5,19.5
11,14.9,15.6,16,16.9,17.9,18.4,19.4
12,14.8,15.5,15.9,16.8,17.7,18.3,19.2
13,14.7,15.4,15.9,16.7,17.6,18.1,19.1
14,14.6,15.3,15.7,16.6,17.5,18,19
15,14.5,15.2,15.6,16.4,17.4,17.9,18.8
16,14.4,15.1,15.5,16.3,17.2,17.8,18.7
17,14.3,15,15.4,16.2,17.1,17.6,18.6
18,14.2,14.9,15.3,16.1,17,17.5,18.5
19,14.2,14.8,15.2,16,16.9,17.4,18.4
20,14.1,14.7,15.1,16,16.8,17.3,18.3
21,14.1,14.7,15.1,15.9,16.8,17.3,18.2
22,14,14.6,15,15.8,16.7,17.2,18.1
23,14,14.6,15,15.8,16.7,17.1,18
24,13.9,14.5,14.9,15.7,16.6,17.1,18
