1,3.5,4,4.5,4.5,5,5,5.5
2,4.5,4.5,5,5.5,6,6,6.5
3,5,5.5,6,6.5,7,7,7.5
4,5.5,6,6.5,7,7.5,8,8.5
5,6,6.5,7,7.5,8,8.5,9
6,6.5,7,7.5,8,8.5,9,10
7,7,7.5,8,8.5,9,9.5,10.5
8,7.5,8,8.5,9,9.5,10,11
9,7.5,8,8.5,9,10,10.5,11
10,8,8.5,9,9.5,10.5,11,11.5
11,8,8.5,9,10,10.5,11,12
12,8.5,9,9.5,10.5,11,11.5,12.5
